is_working,state,city,street,country
working,NJ,"Mount Holly","1864 Burlington-Mount Holly Rd",USA
working,PA,Trevose,"3560 Horizon Boulevard",USA
working,NY,Manorville,"560 Cord Route 111",USA
working,CT,Derby,"44 Division St",USA
working,CT,Derby,"652 New Haven Ave",USA
working,PA,Stroudsburg,"330 Main St",USA
working,PA,Jamison,"2395 York Rd",USA
working,NJ,"Mount Holly","1660 State Hwy 38",USA
working,PA,Doylestown,"561 N Main St",USA
working,PA,Feasterville,"334 E Street Rd",USA
working,PA,Bensalem,"1930 St Rd",USA
working,PA,Easton,"2553 Nazareth Rd",USA
working,CT,Orange,"57 Boston Post Road",USA
working,NJ,"Edgewater Park","Us 130/Cooper St",USA
working,NJ,Barnegat,"580 N Main St",USA
working,CT,"West Haven","513 Sawmill Road",USA
working,PA,Philadelphia,"501 Franklin Mill Cir",USA
working,PA,Easton,"3708 Easton Nazareth Hwy",USA
working,NY,"La Grangeville","Freedom Business Center Rt 55",USA
working,CT,Southbury,"100 Main St North",USA
working,PA,Bensalem,"1240 Bristol Pike",USA
working,CT,Seymour,"Rt 67 & 255 Bank St",USA
working,CT,"West Haven","1129 Campbell Ave",USA
working,PA,"Wind Gap","1036 S Broadway",USA
working,NY,Poughkeepsie,"733 Main St",USA
working,CT,"New Haven","280 Kimberly Ave",USA
broken,PA,Philadelphia,"9970 Bustleton Ave",USA
broken,NY,Hyland,"650 Rte 9 W Bridgeview Plaza",USA
working,NJ,"Mount Laurel","3049 Route 38",USA
working,PA,Hatboro,"121 N York Rd",USA
working,PA,Warrington,"250 Metro Drive",USA
broken,CT,"New Haven","1094 Whalley Ave",USA
working,NY,Riverhead,"268 Ny Rte 58",USA
working,CT,"New Haven","250 Whalley Ave",USA
working,NJ,Delran,"4057 Route 130",USA
working,PA,Horsham,"Pa Rte 611 And Pine Ave",USA
working,PA,Philadelphia,"8901 Franford Ave",USA
working,NY,Poughkeepsie,"Mid Hudson Center",USA
working,PA,Bethlehem,"3925 Nazareth Pike",USA
working,PA,Bethlehem,"2610 Easton Ave",USA
working,PA,Hawley,"603 Rt 739",USA
working,CT,"East Haven","687 Main St",USA
working,PA,Hellertown,"14 S Main St",USA
working,PA,Abington,"1663 Old York Rd",USA
working,NJ,Manahawkin,"757 Rt 72 W",USA
working,CT,"New Haven","308 Ferry St",USA
working,CT,Hamden,"1260 Dixwell Avenue",USA
working,PA,Chalfont,"4272 County Line Rd",USA
working,NY,"New Paltz","261 Main St",USA
working,PA,Philadelphia,"7613 Castor Avenue",USA
working,NY,Riverhead,"30 Flanders Rd",USA
working,NJ,Medford,"601 Stokes Rd",USA
working,PA,Philadelphia,"7901 Oxford Ave",USA
working,NY,"Pleasant Valley","1620 Main St",USA
broken,PA,Philadelphia,"2801 Cottman Ave",USA
working,PA,Perkasie,"503 Constitution Ave",USA
working,CT,Branford,"424 W Main St",USA
working,CT,"New Haven","225 Foxon Blvd",USA
working,CT,Naugatuck,"718 Rubber Ave",USA
working,NY,Riverhead,"268 Route 58",USA
working,PA,Hatfield,"1511 Bethlehem Pike",USA
working,NY,Ellenville,"47-49 N Main Street",USA
broken,PA,Dresher,"1650 Limekiln Pike",USA
working,PA,Bethlehem,"442 Wyandotte St",USA
working,CT,Naugatuck,"571 New Haven Rd",USA
working,NJ,Cinnaminson,"100 Rt 130 N",USA
working,CT,Branford,"Rt- 95 East",USA
working,CT,Hamden,"2320 Dixwell Avenue",USA
working,PA,Philadelphia,"6470 Torresdale Avenue",USA
working,PA,"North Wales","1470 Bethlehem Pike",USA
working,NJ,Moorestown,"1 W Camden Ave",USA
working,NJ,Pennsauken,"1021 Route 73",USA
working,PA,Quakertown,"2 N Westend Blvd",USA
working,PA,Souderton,"727 Rt 113",USA
working,NJ,"Mount Laurel","1108 Route 73",USA
working,PA,"North Wales","1200 Welsh Rd",USA
working,CT,"North Haven","365 Universal Drive",USA
working,NY,"Hyde Park","4258 Albany Post Rd",USA
working,NY,"Dover Plains","3078 Route 22",USA
broken,PA,Brodheadsville,"Rt 209 & 115",USA
working,NY,Monticello,"Route 42 N",USA
working,PA,Philadelphia,"710 Adams Ave",USA
working,NJ,Marlton,"760 W Route 70",USA
working,NJ,"Cherry Hill","2428 Kaighns Avenue",USA
working,PA,Philadelphia,"7911-17 Ogontz Ave",USA
broken,PA,Allentown,"1321 Union Blvd",USA
working,PA,Philadelphia,"1801 Torresdale Ave",USA
working,PA,Lansdale,"2333 Welsh Road",USA
working,PA,Philadelphia,"2211 Stenton Ave",USA
working,PA,Philadelphia,"3725 Aramingo Ave",USA
working,PA,Flourtown,"1890 Bethleham Pike",USA
working,PA,Philadelphia,"4163 Whitaker Ave",USA
working,CT,Watertown,"564 Straits Tpke",USA
working,CT,"North Haven","129 Washington Ave",USA
working,PA,Lansdale,"1551 S Valley Forge Rd",USA
working,NJ,"Cherry Hill","24 W Marlton Pike",USA
broken,PA,Quakertown,"1900 John Fries Highway",USA
working,NJ,"Cherry Hill","801 Rt 38",USA
working,CT,Waterbury,"45 Thomaston Ave",USA
working,PA,Allentown,"1432 S 4th St",USA
working,PA,"Mt. Pocono","Rt. 940 & Oak Street Shopping Center",USA
working,CT,"North Branford","280 Branford Road",USA
working,PA,Philadelphia,"4200 N Broad St",USA
working,CT,Waterbury,"325 Union St",USA
broken,PA,Philadelphia,"29 E Chelten Ave",USA
working,NY,"Hampton Bays","196 W Montauk Hwy.",USA
working,PA,Philadelphia,"2nd   Lehigh Ave",USA
working,CT,Waterbury,"530 Reidville Dr",USA
working,PA,Whitehall,"2137 Mc Arthur Rd",USA
working,PA,Philadelphia,"3137 N Broad St",USA
working,PA,Allentown,"3020 Lehigh St",USA
working,PA,Whitehall,"2998 Macarthur Road",USA
working,CT,Waterbury,"881 Wolcott St",USA
working,CT,Waterbury,"184 Chase Ave",USA
working,NJ,Voorhees,"702-2 Berlin Rd",USA
broken,PA,Philadelphia,"2101 W Lehigh",USA
working,PA,Philadelphia,"22 W Girard Ave",USA
working,NY,Mattituck,"8850 Main Rd Ny 25",USA
working,PA,Philadelphia,"2109 N Broad St",USA
working,NJ,Westmont,"566 Cuthbert Blvd",USA
working,PA,Philadelphia,"3100 W Allegheny Ave",USA
working,PA,Philadelphia,"8500 Henry Ave",USA
working,NJ,"Little Egg Harbor","460 Rt 9 S",USA
working,NJ,Camden,"Haddon Ave & Federal St",USA
working,PA,"East Norriton","2931 Dekalb Pike",USA
working,NJ,Berlin,"270 Route 73 North",USA
broken,PA,Philadelphia,"1201 N Broad St",USA
working,PA,Emmaus,"1101 Chestnut St",USA
working,NJ,Camden,"2720 Mount Ephraim Ave",USA
working,NJ,Magnolia,"700 White Hourse Pike North",USA
broken,PA,Conshohocken,"209 213 Ridge Pike",USA
working,PA,Allentown,"721 Cedar Crest Blvd",USA
working,NJ,Berlin,"230 White Horse Pike",USA
working,CT,Guilford,"617 Boston Post Rd",USA
working,PA,"East Norristown","689 W Germantown Pike",USA
working,PA,Allentown,"3860 Hamilton Blvd",USA
working,PA,Philadelphia,"1675 S Christopher Columbus Blvd",USA
broken,NJ,Lindenwold,"517 White Horse Pike",USA
broken,PA,Philadelphia,"1601 Christopher Columbus Blvd",USA
working,CT,Wallingford,"608 N Colony",USA
working,NJ,"Mount Ephraim","259 S Black Horse Pike",USA
broken,PA,Philadelphia,"5020 City Line Ave",USA
working,PA,Pennsburg,"502 Pottstown Ave",USA
working,PA,Philadelphia,"52nd   Jefferson",USA
working,PA,Norristown,"273/227 W Main",USA
working,PA,Philadelphia,"120 W Oregon",USA
broken,PA,"West Conshohocken","114 Moorehead Ave",USA
working,PA,Philadelphia,"3935 Walnut St",USA
working,PA,Philadelphia,"5601 Vine St",USA
working,PA,Philadelphia,"101-1423 S 52nd St",USA
working,PA,Philadelphia,"24th & Oregon St",USA
working,PA,Macungie,"6479 Village Ln",USA
working,CT,Meriden,"533 South Broad St",USA
working,NJ,Deptford,"1106 Hurffville Road",USA
working,CT,Plantsville,"894 Meriden Waterbury Turnpike",USA
working,PA,Walnutport,"473 Main St",USA
working,PA,"King Of Prussia","151 North Henderson Road",USA
working,NJ,Blackwood,"1521 Blackwood Clementon Road",USA
working,PA,Ardmore,"111 Lancaster Pike",USA
working,PA,Philadelphia,"7500 City Avenue",USA
working,PA,Audubon,"635 S Trooper Rd",USA
working,PA,Trexlertown,"6896 Hamilton Blvd",USA
working,PA,Philadelphia,"5945 Woodland Ave",USA
working,PA,"Upper Darby","133 S 69th St",USA
working,CT,Terryville,"321 Main St",USA
working,CT,Meriden,"412 W Main St",USA
working,PA,"Bryn Mawr","1257 Lancaster Ave",USA
working,PA,Collegeville,"222 E Main St",USA
working,PA,Schnecksville,"5060 State Hwy 873",USA
working,CT,Madison,"Rt-95 West  South",USA
working,NJ,Hammonton,"96 S White Horse Pike",USA
working,NY,Southampton,"307 N Sea Rd",USA
broken,NY,Kingston,"555 Albany Ave",USA
working,NJ,Woodbury,"444 N Broad St",USA
working,PA,Lansdowne,"201 E Baltimore Ave",USA
working,PA,"Upper Darby","1891 S State Rd",USA
working,CT,Meriden,"783 East Main Street",USA
working,NJ,Sicklerville,"582 Berlin Cross Keys Rd",USA
working,NJ,Turnersville,"5801 Rt 42",USA
working,PA,Philadelphia,"7700 Island Ave",USA
working,PA,Limerick,"32 Ridge Pike",USA
broken,CT,Clinton,"108 W Main St",USA
working,PA,Havertown,"1232 Westchester Pike",USA
working,PA,Darby,"101 S Mcdade Blvd",USA
working,PA,Honesdale,"1187 Texas Palmyra Highway",USA
working,CT,Bristol,"150 N Main St",USA
working,NJ,"Woodbury Heights","201 S Evergreen Ave",USA
working,NJ,Hurffville,"122 Delsea Drive",USA
working,NY,Kingston,"1232 Ulster Ave",USA
working,PA,"Drexel Hill","5008 Township Line Rd",USA
working,CT,Southington,"675 Queen St",USA
broken,NJ,Turnersville,"3501 Rt 42",USA
working,PA,Broomall,"2601 W Chester Pike",USA
working,PA,"Clifton Heights","531 Baltimore Pike",USA
working,PA,Berwyn,"260 W Swedeford Rd",USA
working,PA,Hamlin,"Rte 590 Village Center At Hamlin",USA
working,NJ,Williamstown,"10 S Blackhorse Pike",USA
working,PA,Royersford,"308 N Lewis Rd",USA
working,CT,Bristol,"646 Farmington Avenue",USA
working,PA,Holmes,"2711 Mac Dade Blvd",USA
working,NJ,"Egg Harbor","Rt 30 & Saint Louis Ave",USA
working,PA,Gilbertsville,"Rt 73/Philadelphia Ave",USA
working,PA,Phoenixville,"651 Nut Rd",USA
inactive,CT,Plainville,"260 New Britian Ave",USA
working,CT,Middletown,"914 Washington",USA
working,NJ,Glassboro,"656 Delsea Drive",USA
working,CT,Torrington,"1858 E Main St",USA
working,CT,Middletown,"611 S Main",USA
working,CT,"New Britain","698 W Main Street",USA
working,PA,Lehighton,"1257 Blakeslee Blvd",USA
working,PA,Pottstown,"1428 E High St",USA
working,CT,Berlin,"185 New Britain Rd",USA
working,PA,Woodlyn,"1253 Mcdade Blvd",USA
working,CT,Cromwell,"125 Berlin Rd",USA
working,PA,Eddystone,"1576 Chester Pike",USA
working,PA,"White Haven","Rt 940 & I 80",USA
working,CT,"New Britain","40 Martin Luther King Jr Dr",USA
broken,NJ,Absecon,"551 White Horse Pike",USA
working,CT,Cromwell,"30 Shunpike Rd",USA
working,PA,Pottstown,"189 Shoemaker Rd",USA
broken,PA,Frazer,"84 Lancaster Ave",USA
working,CT,Farmington,"Farmington Ave.",USA
working,CT,"Old Saybrook","1061 Boston Post Rd",USA
broken,PA,Brookhaven,"4206 Edgemont Ave",USA
working,PA,Lima,"1123 West Baltimore Pike",USA
working,NJ,"Mays Landing","4478 Black Horse Pike",USA
broken,NJ,"Mullica Hill","Route 77 And Walnut Lane",USA
working,CT,"New Britain","635 Hartford Road",USA
working,NY,Saugerties,"350 Rt 212",USA
working,NJ,"Egg Harbor Township","6688 Blackhorse Pike",USA
working,CT,Newington,"2375 Berlin Tpke",USA
working,PA,Nesquehoning,"180 Market St",USA
working,NJ,Pleasantville,"1045 Black Horse Pike",USA
working,NJ,"Mays Landing","6048 Harding Hwy",USA
working,PA,Douglassville,"1188 W Ben Franklin Hwy",USA
working,NJ,"Atlantic City","31 Arkansas Ave",USA
working,PA,Linwood,"2326 Market St",USA
working,NJ,Malaga,"403 Delsea Dr",USA
working,CT,"West Simsbury","22 Albany Tpke",USA
working,NJ,"Atlantic City","600 N Albany Ave",USA
working,NY,"Malden On Hudson","Mile Post 103 N Ny State Thruway",USA
working,PA,Boothwyn,"518 Conchester Hwy",USA
working,CT,Winsted,"15 S Main St Rte 44",USA
working,NJ,Northfield,"1201 Tilton Rd",USA
working,CT,"Rocky Hill","1994 Silas Deane Hwy",USA
working,NJ,Swedesboro,"Center Square Rd & I 295",USA
working,CT,"North Canaan","18 Main St",USA
working,PA,Exton,"Rt 100/Swedsford Rd",USA
broken,PA,Dunmore,"1201 Harry P. O Neill",USA
broken,CT,Hartford,"507 Flatbush Ave",USA
working,PA,Carbondale,"160 Brooklyn St",USA
working,PA,"West Chester","701 E Gay St",USA
working,PA,Eynon,"525 Scranton Carbondale Hwy",USA
working,PA,Exton,"106 Eagleview Blvd",USA
working,CT,"East Hampton","15 E High St",USA
working,PA,Scranton,"1236 Wyoming Ave",USA
working,CT,"West Hartford","2534 Albany Avenue",USA
working,NJ,Vineland,"833 N Main Rd",USA
working,PA,Scranton,"900 S Washington Ave",USA
working,PA,"West Chester","927 S High St",USA
working,PA,Concordville,"Rt 202 & 1",USA
working,CT,Hartford,"76 Brainard Road",USA
working,CT,Hartford,"170-176 Washington St",USA
working,PA,"Dickson City","1511 Scranton Carbondale Hwy",USA
working,DE,Claymont,"2702 Philadelphia Pike",USA
working,PA,Scranton,"1739 N Keyser Ave",USA
working,CT,Hartford,"1303 Albany Ave",USA
broken,PA,Pittston,"306 Rt 315",USA
working,CT,Glastonbury,"2915 Main St",USA
working,NJ,Vineland,"306 N Delsea Dr",USA
working,NJ,"Somers Point","401 New Rd",USA
working,PA,Reading,"5370 Perkiomen Ave",USA
working,PA,"Old Forge","411 S Main St",USA
working,CT,Bloomfield,"273 Cottage Grove Rd",USA
working,PA,Downingtown,"227 E Lincoln Hwy",USA
working,NJ,Woodstown,"Rt 40 & 45",USA
working,CT,Hartford,"98 Weston St",USA
working,PA,"Saint Lawrence","2730 Perkiomen Ave",USA
working,PA,Temple,"5372 Allentown Pike",USA
working,PA,"Clarks Summit","1127 Northern Blvd",USA
working,DE,Wilmington,"2507 Concord Pike",USA
working,NJ,Vineland,"2707 S Delsea Dr",USA
working,PA,"Mountain Top","Rt 309 & Crestwood Dr",USA
working,PA,Reading,"430 Elizabeth Ave",USA
working,DE,Wilmington,"4111 North Market Street",USA
working,PA,Reading,"1001 N 9th Street",USA
working,NJ,"Ocean City","900 West Ave",USA
working,PA,Tamaqua,"Rt 54 & Rt 309",USA
working,PA,Leesport,"5500 Pottsville Pike",USA
working,PA,"Wilkes Barre","900 Wilkes Barre Township Blvd",USA
working,CT,"East Lyme","19 Chesterfield Rd",USA
working,PA,Thorndale,"3808 E Lincoln Hwy",USA
working,NY,Catskill,"55 Maple Avenue Rte 9w",USA
working,PA,Plains,"River St & Rt309",USA
working,CT,Manchester,"184-188 Spencer St",USA
broken,PA,"Wilkes Barre","150 East Hampton",USA
working,CT,Windsor,"350 Bloomfield Ave",USA
working,PA,Hamburg,"80 Wilderness Drive",USA
working,NJ,Millville,"1027 N High St",USA
working,CT,Colchester,"375 S Main St",USA
working,PA,Wyomissing,"8th & Hill Ave",USA
broken,CT,"South Windsor","769 John Fitch Blvd",USA
working,CT,Manchester,"70 W Center Rd",USA
working,DE,Wilmington,"700 West 4th Street",USA
broken,PA,Edwardsville,"80 S Wyoming Ave",USA
working,PA,"Wilkes Barre","746 San Souci Hwy",USA
working,PA,Luzerne,"500 Union Street Luzerne",USA
working,CT,Manchester,"1221 Tolland Tpke",USA
working,NJ,Pennsville,"417 N Broadway",USA
working,PA,Morgantown,"6176 Morgantown Rd",USA
working,PA,Coatesville,"1820 E Lincoln Hwy",USA
working,PA,"Hazle Township","761 Airport Rd",USA
broken,PA,Wyomissing,"2725 N Meridian Blvd",USA
working,PA,"Hazle Township","571 Susquehanna Blvd",USA
working,DE,Wilmington,"101 New Rd",USA
working,NY,Hudson,"149-57 Fairview Ave Extension",USA
working,CT,Waterford,"117 Boston Post Rd",USA
working,NJ,Bridgeton,"1056 N Pearl St",USA
working,DE,"New Castle","3010 New Castle Ave",USA
working,CT,Manchester,"144 Deming St",USA
working,CT,"New London","406 Colman St",USA
working,CT,"Windsor Locks","New Main Terminal",USA
working,NY,Hancock,"86 W Main St",USA
working,CT,"Windsor Locks","195 Turnpike Rd",USA
working,PA,"Sinking Spring","3710 Penn Ave",USA
working,MA,"Great Barrington","302 Stockbridge Rd",USA
working,PA,"Kennett Square","399 Scarlet Rd New Garden Shopping Cntr",USA
working,DE,Wilmington,"3318 Kirkwood Hwy",USA
broken,PA,Shavertown,"Rt 309 Franklin Street",USA
working,NY,Cairo,"Rte 23 & Rte 32",USA
working,DE,"New Castle","700 N Dupont Highway",USA
working,CT,Vernon,"89 Talcotville Rd",USA
working,DE,Stanton,"1790 W Newport",USA
working,NJ,Bridgeton,"56 E Broad St",USA
working,NJ,Seaville,"2087 Rt 9",USA
working,NJ,Salem,"437 E Broadway",USA
working,MA,Southwick,"214 College Hwy",USA
working,CT,Groton,"561 Longhill Rd",USA
working,DE,Wilmington,"4625 Kirkwood Highway",USA
working,CT,Montville,"538 Norwich New London Tpke",USA
working,DE,"New Castle","101 South Dupont Highway",USA
working,PA,Shartlesville,"Motel Drive & Rt 4011",USA
working,CT,"Gales Ferry","1678 Connecticut 12",USA
working,CT,Montville,"1951 Norwich New London Turnpike",USA
working,PA,"Schuylkill Haven","981 E Main St",USA
working,CT,Norwich,"109 Salem Tpke",USA
working,PA,Parkesburg,"900 Commons Drive",USA
broken,DE,Newark,"4160 Ogletown Stanton Road",USA
working,CT,Rockville,"74 Reservoir Road",USA
working,CT,Ellington,"135 West Road",USA
broken,PA,Pottsville,"720 N Claude A Lord Blvd",USA
working,DE,Bear,"1401 Governers Pl",USA
working,CT,Norwich,"78 Town St",USA
working,CT,Enfield,"28 Hazard Ave",USA
working,NY,"West Coxsackie","12187 State Route 9w",USA
working,CT,Willimantic,"1464 W Main",USA
working,CT,Enfield,"97 Elm St",USA
working,DE,Newark,"374 East Main Street",USA
working,MA,Lee,"370 West Stockbridge Road",USA
working,MA,Lee,"240 West Road",USA
working,CT,Mystic,"6 Coogan Blvd",USA
working,PA,"New Milford","I 81 & Sr 848",USA
working,PA,Jennersville,"Rt 796 & Rt 1",USA
working,PA,Frackville,"960 Schuylkill Mall",USA
broken,NY,Walton,"205 Delaware St",USA
working,MA,Blandford,"North St",USA
working,MA,Lee,"245 Housatonic St",USA
working,MA,Blandford,"Mass Pike W Travel Plaza",USA
broken,PA,Tunkhannock,"161 W Tioga St.",USA
working,CT,Enfield,"34 Enfield St",USA
working,PA,Womelsdorf,"3400 Conrad Weiser Pky",USA
working,MA,Agawam,"868 Suffield Street",USA
working,PA,Gap,"5328 Lincon Hwy",USA
working,CT,Enfield,"585 Hazard Ave",USA
working,MA,Westfield,"299 E Main",USA
working,NY,Delhi,"Ames Plaza / Rt 10",USA
working,CT,"Mansfield Center","118 Storrs Rd",USA
working,DE,Newark,"815 South College Avenue",USA
working,MA,Westfield,"182 N Elm St",USA
working,PA,"New Holland","828 W Main St",USA
working,PA,Ephrata,"854 Emain Street",USA
working,DE,Glasgow,"2351 S College Ave",USA
working,NY,Valatie,"2939 Us Hwy 9",USA
working,MA,"West Springfield","429 Memorial Ave",USA
working,PA,Ephrata,"140 N Reading",USA
working,NJ,"Cape May Court House","227 N Main St",USA
working,MA,"West Springfield","352 Riverdale Rd",USA
working,MA,Springfield,"360 Main St",USA
working,PA,Berwick,"10 Briar Creek Plaza",USA
working,MD,Elkton,"226 Belle Hill Rd",USA
working,MA,Springfield,"2392 Main St",USA
working,CT,Lisbon,"97 River Rd",USA
working,MA,Springfield,"782 State St",USA
working,RI,Westerly,"135 Granite St",USA
working,PA,Mifflinville,"Route 339 And I 80",USA
working,CT,"Stafford Springs","89 W Stafford Rd",USA
working,MA,Springfield,"1402 Allen Street",USA
working,MD,Elkton,"101 E Pulaski Hwy",USA
working,MA,Springfield,"1361 Liberty St",USA
working,PA,Myerstown,"295 W Lincoln",USA
working,MA,Holyoke,"233 Whiting Farms Road",USA
working,MA,Chicopee,"777 Meadow St",USA
working,PA,Montrose,"494 Grow Ave",USA
working,MA,Springfield,"771 Page Blvd",USA
working,MA,Holyoke,"2194 N Hampton St",USA
working,PA,Halstead,"Rt 11 & I 81",USA
working,MA,Springfield,"809 Boston Rd",USA
working,MA,Chicopee,"639 Memorial Drive",USA
working,MA,Pittsfield,"445 W Housatonic St",USA
working,MA,Chicopee,"350 Burnett Rd",USA
working,NJ,"Rio Grande","3201 Route 9 South",USA
working,MA,Holyoke,"285 Maple St",USA
working,DE,Middletown,"580 Middletown-Warwick Road",USA
working,MA,Springfield,"1610 Boston Post Rd",USA
working,PA,Lancaster,"2090 Lincoln Highway East",USA
working,MA,Chicopee,"1460 Memorial Drive",USA
working,PA,Lancaster,"1880 Hempstead Rd",USA
working,NJ,Wildwood,"Rt 47 & Park Blvd",USA
inactive,CT,Plainfield,"796 Norwich Road",USA
working,PA,Lititz,"990 Lititz Pike",USA
working,PA,"Pine Grove","427 Sueberg Road",USA
working,MD,"North East","2400 Pulaski Hwy",USA
working,MA,Ludlow,"420 Center St",USA
working,PA,Lebanon,"757 E Cumberland St",USA
broken,MA,Pittsfield,"61 Cheshire Road",USA
working,PA,Lancaster,"1829 Oregon Pike",USA
working,MA,Easthampton,"121 N Hampton St",USA
working,PA,Bloomsburg,"945 New Berwick Hwy",USA
working,MA,Ludlow,"862 East St",USA
working,PA,Lancaster,"575 N Franklin St",USA
working,MD,"Rising Sun","10 Rising Sun Town Center",USA
working,DE,Smyrna,"333 N Dupont Hwy",USA
working,PA,Lancaster,"210 W King St",USA
working,PA,Lebanon,"1202 W Maple St",USA
working,PA,Lancaster,"301 Willow Valley Square",USA
working,NJ,"North Cape May","3857 Bayshore Rd",USA
working,PA,Lebanon,"1725 Quentin Rd",USA
working,PA,Lancaster,"1434 Manheim Pike",USA
working,PA,Manheim,"711 Lancaster Rd",USA
working,NY,Glenmont,"376 Feura Bush Rd",USA
working,PA,Lancaster,"1295 Millersville Pike",USA
working,PA,Bloomsburg,"100 Lunger Drive  Wm  1794",USA
working,NY,Oneonta,"Rt 23 & Grand",USA
working,NY,Sidney,"141 Delaware Ave",USA
working,NY,Windsor,"30 North Rd",USA
working,PA,Lancaster,"1755 Columbia Ave",USA
working,MA,Northampton,"221 King St",USA
working,CT,Danielson,"554 Providence Rd Rte 6",USA
working,PA,Shamokin,"Sthy 61",USA
working,RI,Wyoming,"14 Kingston Road",USA
working,NY,Oneonta,"379 Chestnut St",USA
working,PA,Cleona,"493 W Pen Ave",USA
working,NY,Delmar,"132 Delaware Ave",USA
working,PA,Jonestown,"Rt 72 & I-81",USA
working,DE,Dover,"1788n Dupont Highway",USA
working,DE,Dover,"879 N Dupont Highway",USA
working,MA,Palmer,"1184 Thorndike St",USA
working,PA,Elysburg,"1 West Valley Avenue",USA
working,PA,Lancaster,"311 Centerville Rd",USA
working,NY,Albany,"31 Holland Ave",USA
working,NY,Rensselaer,"310 Troy Rd",USA
working,DE,Dover,"915 South Dupont Highway",USA
broken,DE,Dover,"1704 East Lebanon Rd",USA
working,CT,Killingly,"1141 Killingly Cmns",USA
working,PA,Manheim,"2000 Strickler Road",USA
broken,DE,Dover,"1424 Forrest Ave",USA
working,NY,Albany,"391 Central Ave",USA
working,MA,Hadley,"374 Russell St",USA
working,NY,Albany,"1602 Western Avenue",USA
working,NY,Binghamton,"488 490th Court St",USA
broken,NY,Albany,"1006 Central Ave",USA
broken,MD,"Havre De Grace","802 Pulaski Highway",USA
working,MA,Belchertown,"148 N Main St",USA
working,NY,Albany,"161 Washington Ave Extension",USA
working,NY,Cobleskill,"702 E Main St",USA
working,PA,Palmyra,"901 E Main St",USA
working,PA,Columbia,"1788 Columbia Ave",USA
broken,NY,Loudonville,"256 Osborne Rd",USA
working,NY,Wynantskill,"65 Main Ave Rte 66",USA
working,CT,Putnam,"6 Providence Turnpike Rte 44",USA
working,NY,Binghamton,"167 Main St",USA
working,MA,Sturbridge,"366 Main St",USA
working,NY,Binghamton,"704 Front Street",USA
working,NY,Albany,"106 Wolf Rd",USA
working,PA,Danville,"132 Old Valley School Road",USA
broken,MA,Adams,"2 Commercial St",USA
broken,NY,"Johnson City","339 Main St",USA
inactive,NY,Schenectady,"103 Brookview Dr",USA
working,RI,Wakefield,"149 Old Tower Hill Rd",USA
broken,NY,Vestal,"3136 Vestal Pky E",USA
working,NY,"Johnson City","560 Harry L Dr",USA
working,NY,Troy,"170 Hoosick Street",USA
working,MD,Aberdeen,"999 Beards Hill Rd",USA
working,PA,Elizabethtown,"1284 S Market St",USA
working,NY,Latham,"579 Troy Schenectady Rd",USA
working,NY,Troy,"780 Hoosick Rd",USA
working,NY,Endwell,"3333 E Main St",USA
